timestamp,source_ip,destination_ip,protocol,bytes_sent,bytes_received
2/15/2025 10:22,192.168.153.182,192.168.202.62,FTP,17,787
2/15/2025 3:11,192.168.38.86,192.168.202.62,FTP,16,698
2/15/2025 8:31,192.168.108.102,192.168.202.62,FTP,18,153
2/15/2025 20:21,192.168.184.130,192.168.202.62,FTP,16,383
2/15/2025 1:49,192.168.159.223,192.168.202.62,FTP,18,305
2/15/2025 8:46,192.168.97.227,192.168.202.62,FTP,12,633
2/15/2025 17:34,192.168.1.118,192.168.202.62,FTP,20,361
2/15/2025 19:59,192.168.197.37,192.168.202.62,FTP,17,941
2/15/2025 21:40,192.168.155.67,192.168.202.62,FTP,15,678
2/15/2025 20:42,192.168.102.179,192.168.202.62,FTP,10,437
2/15/2025 22:04,192.168.79.192,192.168.202.62,FTP,16,631
2/15/2025 21:59,192.168.52.53,192.168.202.62,FTP,20,941
2/15/2025 14:43,192.168.230.75,192.168.202.62,FTP,20,739
2/15/2025 16:52,192.168.130.38,192.168.202.62,FTP,10,811
2/15/2025 2:32,192.168.214.119,192.168.202.62,FTP,14,764
2/15/2025 2:34,192.168.250.75,192.168.202.62,FTP,18,906
2/15/2025 0:52,192.168.207.157,192.168.202.62,FTP,18,445
2/15/2025 1:29,192.168.21.11,192.168.202.62,FTP,13,236
2/15/2025 18:41,192.168.32.65,192.168.202.62,FTP,14,367
2/15/2025 11:57,192.168.251.31,192.168.202.62,FTP,14,977
2/15/2025 8:56,192.168.254.142,192.168.202.62,FTP,19,497
2/15/2025 2:00,192.168.93.110,192.168.202.62,FTP,14,394
2/15/2025 9:11,192.168.136.54,192.168.202.62,FTP,20,306
2/15/2025 0:10,192.168.90.191,192.168.202.62,FTP,14,288
2/15/2025 16:46,192.168.51.43,192.168.202.62,FTP,11,454
2/15/2025 11:03,192.168.214.49,192.168.202.62,FTP,16,289
2/15/2025 15:16,192.168.17.235,192.168.202.62,FTP,10,313
2/15/2025 5:53,192.168.98.114,192.168.202.62,FTP,11,626
2/15/2025 6:06,192.168.199.242,192.168.202.62,FTP,18,737
2/15/2025 12:56,192.168.254.167,192.168.202.62,FTP,10,581
2/15/2025 11:27,192.168.28.187,192.168.202.62,FTP,20,772
2/15/2025 9:22,192.168.186.92,192.168.202.62,FTP,10,600
2/15/2025 8:01,192.168.213.249,192.168.202.62,FTP,16,115
2/15/2025 23:54,192.168.171.236,192.168.202.62,FTP,13,132
2/15/2025 13:20,192.168.163.78,192.168.202.62,FTP,11,152
2/15/2025 1:50,192.168.16.8,192.168.202.62,FTP,14,970
2/15/2025 11:40,192.168.221.119,192.168.202.62,FTP,12,642
2/15/2025 7:00,192.168.46.192,192.168.202.62,FTP,18,888
2/15/2025 4:22,192.168.242.153,192.168.202.62,FTP,20,396
2/15/2025 16:06,192.168.194.240,192.168.202.62,FTP,13,356
2/15/2025 16:38,192.168.253.12,192.168.202.62,FTP,13,517
2/15/2025 20:29,192.168.165.224,192.168.202.62,FTP,17,273
2/15/2025 19:37,192.168.21.77,192.168.202.62,FTP,19,966
2/15/2025 9:25,192.168.83.16,192.168.202.62,FTP,10,775
2/15/2025 12:58,192.168.198.146,192.168.202.62,FTP,20,626
2/15/2025 5:22,192.168.20.116,192.168.202.62,FTP,11,793
2/15/2025 13:44,192.168.6.133,192.168.202.62,FTP,14,744
2/15/2025 6:27,192.168.107.206,192.168.202.62,FTP,12,998
2/15/2025 19:31,192.168.214.187,192.168.202.62,FTP,10,830
2/15/2025 9:36,192.168.57.2,192.168.202.62,FTP,20,156
2/15/2025 19:12,192.168.252.96,192.168.202.62,FTP,14,751
2/15/2025 20:47,192.168.128.118,192.168.202.62,FTP,14,435
2/15/2025 15:18,192.168.55.130,192.168.202.62,FTP,11,839
2/15/2025 5:54,192.168.237.179,192.168.202.62,FTP,19,986
2/15/2025 19:50,192.168.245.75,192.168.202.62,FTP,10,553
2/15/2025 17:09,192.168.19.131,192.168.202.62,FTP,17,525
2/15/2025 1:53,192.168.13.81,192.168.202.62,FTP,16,508
2/15/2025 6:51,192.168.134.52,192.168.202.62,FTP,11,235
2/15/2025 5:13,192.168.210.192,192.168.202.62,FTP,18,523
2/15/2025 11:18,192.168.13.97,192.168.202.62,FTP,11,700
2/15/2025 6:27,192.168.120.12,192.168.202.62,FTP,19,558
2/15/2025 15:44,192.168.84.163,192.168.202.62,FTP,11,266
2/15/2025 1:44,192.168.33.11,192.168.202.62,FTP,16,395
2/15/2025 22:48,192.168.215.45,192.168.202.62,FTP,13,759
2/15/2025 21:19,192.168.77.57,192.168.202.62,FTP,12,529
2/15/2025 16:04,192.168.169.202,192.168.202.62,FTP,11,685
2/15/2025 3:59,192.168.153.161,192.168.202.62,FTP,16,652
2/15/2025 19:13,192.168.15.36,192.168.202.62,FTP,20,455
2/15/2025 8:37,192.168.116.237,192.168.202.62,FTP,13,633
2/15/2025 20:43,192.168.133.247,192.168.202.62,FTP,12,854
2/15/2025 0:39,192.168.25.253,192.168.202.62,FTP,18,769
2/15/2025 13:26,192.168.253.131,192.168.202.62,FTP,18,410
2/15/2025 5:37,192.168.7.151,192.168.202.62,FTP,20,442
2/15/2025 12:43,192.168.222.188,192.168.202.62,FTP,11,361
2/15/2025 1:33,192.168.125.82,192.168.202.62,FTP,12,224
2/15/2025 17:30,192.168.239.158,192.168.202.62,FTP,15,285
2/15/2025 19:47,192.168.237.128,192.168.202.62,FTP,15,727
2/15/2025 15:33,192.168.100.183,192.168.202.62,FTP,13,535
2/15/2025 13:26,192.168.149.224,192.168.202.62,FTP,16,139
2/15/2025 22:20,192.168.16.111,192.168.202.62,FTP,12,853
2/15/2025 4:45,192.168.164.101,192.168.202.62,FTP,14,165
2/15/2025 2:28,192.168.61.139,192.168.202.62,FTP,20,285
2/15/2025 6:53,192.168.237.161,192.168.202.62,FTP,14,195
2/15/2025 11:14,192.168.214.179,192.168.202.62,FTP,19,321
2/15/2025 8:07,192.168.47.245,192.168.202.62,FTP,17,994
2/15/2025 16:24,192.168.33.229,192.168.202.62,FTP,18,860
2/15/2025 0:10,192.168.156.245,192.168.202.62,FTP,15,910
2/15/2025 17:51,192.168.93.152,192.168.202.62,FTP,19,411
2/15/2025 6:22,192.168.179.5,192.168.202.62,FTP,11,450
2/15/2025 18:59,192.168.124.159,192.168.202.62,FTP,15,794
2/15/2025 23:48,192.168.25.150,192.168.202.62,FTP,17,131
2/15/2025 22:30,192.168.19.55,192.168.202.62,FTP,15,749
2/15/2025 13:11,192.168.248.46,192.168.202.62,FTP,10,229
2/15/2025 18:50,192.168.64.204,192.168.202.62,FTP,19,996
2/15/2025 22:54,192.168.25.220,192.168.202.62,FTP,12,648
2/15/2025 15:41,192.168.248.45,192.168.202.62,FTP,10,783
2/15/2025 10:27,192.168.8.185,192.168.202.62,FTP,13,603
2/15/2025 1:45,192.168.113.31,192.168.202.62,FTP,20,812
2/15/2025 2:09,192.168.35.59,192.168.202.62,FTP,20,858
2/15/2025 21:42,192.168.91.124,192.168.202.62,FTP,12,730
